COUNTRY,HEALTH-CARE FACILITIES,EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,UNIVERSITIES,GOVERNMENT FACILITIES,INDOOR OFFICES,RESTAURANTS,PUBS AND BARS,PUBLIC TRANSPORT,ALL OTHER INDOOR PUBLIC PLACES,"OVERALL COMPLIANCE OF REGULATIONS ON SMOKE-FREE ENVIRONMENTS ,"
Marshall Islands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Mauritania,Yes,No,No,No,No,No,No,Yes,Missing,5
Mauritius,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,6
Mexico,No,Yes,No,No,No,No,No,No,Missing,5
Micronesia (Federated States of),Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,7
Monaco,No,Yes,Yes,No,No,No,No,No,Missing,Missing
Mongolia,Yes,Yes,Yes,Yes,No,No,No,Yes,No,5
Montenegro,Yes,Yes,Yes,Yes,No,No,No,No,Missing,Missing
Morocco,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,5
Mozambique,No,No,No,Yes,No,No,No,No,Missing,5
Myanmar,Yes,Yes,Yes,Yes,No,Yes,No,No,Missing,5
Namibia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Nauru,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Nepal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1
Netherlands,No,No,No,No,No,Yes,Yes,No,Missing,Missing
New Zealand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Nicaragua,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,3
Niger,Yes,Yes,Yes,No,No,No,No,Yes,Missing,0
Nigeria,Yes,Yes,No,No,No,No,No,No,Missing,3
Niue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
North Macedonia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
Norway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
occupied Palestinian territory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Oman,No,No,No,No,No,No,No,No,Missing,Missing
Pakistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
Palau,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,10
Panama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Papua New Guinea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2
Paraguay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
Peru,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Philippines,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,5
Poland,Yes,Yes,No,No,No,No,No,Yes,Missing,8
Portugal,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,8
Qatar,No,No,No,No,No,No,No,No,Missing,Missing
Republic of Korea,Yes,Yes,No,No,No,No,No,No,Missing,5
Republic of Moldova,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,Missing
Romania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Russian Federation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Rwanda,No,No,No,No,No,No,No,No,Missing,Missing
Saint Kitts and Nevis,No,No,No,No,No,No,No,No,Missing,Missing
Saint Lucia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Saint Vincent and the Grenadines,No,No,No,No,No,No,No,No,Missing,Missing
Samoa,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,Missing
San Marino,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,Missing
Sao Tome and Principe,No,No,No,No,No,No,No,No,Missing,Missing
Saudi Arabia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,5
Senegal,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Missing,7
Serbia,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,3
Seychelles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Sierra Leone,No,No,No,No,No,No,No,No,Missing,Missing
Singapore,Yes,Yes,Yes,No,No,Yes,No,Yes,Missing,8
Slovakia,Yes,Yes,Yes,No,Yes,No,No,No,Missing,10
Slovenia,Yes,Yes,Yes,No,No,No,No,No,Missing,Missing
Solomon Islands,Yes,Yes,No,No,No,No,No,Yes,Missing,3
Somalia,No,No,No,No,No,No,No,No,Missing,Missing
South Africa,No,No,No,No,No,No,No,No,Missing,Missing
South Sudan,No,No,No,No,No,No,No,No,Missing,Missing
Spain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Sri Lanka,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,6
Sudan,No,No,No,No,No,No,No,No,Missing,Missing
Suriname,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Sweden,No,No,No,No,No,No,No,No,Missing,Missing
Switzerland,No,No,No,No,No,No,No,No,Missing,Missing
Syrian Arab Republic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Missing,Missing
Tajikistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Thailand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Timor-Leste,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Missing,6
Togo,Yes,Yes,Yes,Yes,No,No,No,No,Missing,6
Tonga,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Missing,Missing
Trinidad and Tobago,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Tunisia,No,No,No,No,No,No,No,No,Missing,Missing
Turkey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Turkmenistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Tuvalu,No,No,No,Yes,No,Yes,Yes,Yes,Missing,8
Uganda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Ukraine,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,8
United Arab Emirates,Yes,Yes,Yes,No,No,No,No,Yes,Missing,8
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
United Republic of Tanzania,No,No,No,No,No,No,No,No,Missing,Missing
United States of America,No,No,No,Yes,No,No,No,No,Missing,Missing
Uruguay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Uzbekistan,No,No,No,No,No,No,No,Yes,Missing,Missing
Vanuatu,No,No,No,No,No,No,No,No,Missing,Missing
Venezuela (Bolivarian Republic of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Viet Nam,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Missing,5
Yemen,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,3
Zambia,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,4
Zimbabwe,Yes,Yes,Yes,No,No,No,No,Yes,Missing,5
