COUNTRY,HEALTH-CARE FACILITIES,EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,UNIVERSITIES,GOVERNMENT FACILITIES,INDOOR OFFICES,RESTAURANTS,PUBS AND BARS,PUBLIC TRANSPORT,ALL OTHER INDOOR PUBLIC PLACES,"OVERALL COMPLIANCE OF REGULATIONS ON SMOKE-FREE ENVIRONMENTS ,"
Estonia,No,Yes,No,No,No,No,No,No,Missing,7
Eswatini,No,No,No,No,No,No,No,No,No,Missing
Ethiopia,Yes,Yes,No,No,No,No,No,Yes,Missing,5
Fiji,Yes,No,No,No,No,Yes,No,Yes,Missing,8
Finland,No,Yes,No,No,No,No,No,No,Missing,10
France,Yes,Yes,Yes,No,No,No,No,No,Missing,4
Gabon,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,5
Gambia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
Georgia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing,Missing
Germany,No,No,No,No,No,No,No,No,Missing,Missing
Ghana,No,No,No,No,No,No,No,No,No,Missing
Greece,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9
Grenada,No,No,No,No,No,No,No,No,Missing,Missing
Guatemala,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
Guinea,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,Missing
Guinea-Bissau,No,No,No,No,No,No,No,No,Missing,Missing
Guyana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Haiti,No,No,No,No,No,No,No,No,Missing,Missing
Honduras,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Hungary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing,10
Iceland,No,Yes,No,No,No,No,No,No,Missing,10
India,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,7
Indonesia,Yes,Yes,Yes,No,No,No,No,Yes,Missing,4
Iran (Islamic Republic of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Iraq,No,No,No,No,No,Yes,Yes,Yes,Missing,3
Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Israel,Yes,Yes,No,Yes,No,No,No,No,Missing,Missing
Italy,No,No,No,No,No,No,No,No,No,Missing
Jamaica,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Japan,Yes,Yes,Yes,Yes,No,No,No,No,Missing,Missing
Jordan,Yes,Yes,No,Yes,No,No,No,Yes,Missing,3
Kazakhstan,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,8
Kenya,No,No,No,No,No,No,No,No,Missing,Missing
Kiribati,Yes,No,No,Yes,Yes,No,No,No,Missing,5
Kuwait,Yes,Yes,Yes,No,No,No,No,Yes,Missing,Missing
Kyrgyzstan,Yes,Yes,Yes,Yes,No,No,No,No,Missing,2
Lao People's Democratic Republic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Latvia,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Missing,9
Lebanon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3
Lesotho,Yes,No,No,No,No,No,No,No,Missing,Missing
Liberia,No,No,No,No,No,No,No,No,Missing,Missing
Libya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Lithuania,Yes,Yes,Yes,No,No,Yes,No,No,Missing,8
Luxembourg,No,Yes,Yes,No,No,No,No,Yes,Missing,10
Madagascar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Malawi,No,No,No,No,No,No,No,No,Missing,Missing
Malaysia,No,No,No,No,No,No,No,No,Missing,Missing
Maldives,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,1
Mali,No,No,No,No,No,No,No,No,Missing,Missing
Malta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Marshall Islands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Mauritania,Yes,No,No,No,No,No,No,Yes,Missing,1
Mauritius,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,6
Mexico,No,Yes,No,No,No,No,No,No,Missing,4
Micronesia (Federated States of),Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,8
Monaco,No,Yes,Yes,No,No,No,No,No,Missing,Missing
Mongolia,Yes,Yes,Yes,Yes,No,No,No,Yes,No,5
Montenegro,Yes,Yes,Yes,Yes,No,No,No,No,Missing,2
Morocco,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,3
Mozambique,No,No,No,Yes,No,No,No,No,Missing,0
Myanmar,Yes,Yes,Yes,Yes,No,Yes,No,No,Missing,5
Namibia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Nauru,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing
Nepal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
Netherlands,No,No,No,No,No,No,No,No,Missing,Missing
New Zealand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Nicaragua,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,5
Niger,Yes,Yes,Yes,No,No,No,No,Yes,Missing,3
Nigeria,No,No,No,No,No,No,No,No,Missing,Missing
Niue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
North Macedonia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Norway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Oman,No,No,No,No,No,No,No,No,Missing,Missing
Pakistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3
Palau,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,7
Panama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Papua New Guinea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing
Paraguay,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,5
Peru,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Philippines,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,5
Poland,Yes,Yes,No,No,No,No,No,Yes,Missing,Missing
Portugal,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,7
Qatar,No,No,No,No,No,No,No,No,Missing,Missing
Republic of Korea,Yes,Yes,No,No,No,No,No,No,Missing,8
Republic of Moldova,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,7
Romania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Russian Federation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Rwanda,No,No,No,No,No,No,No,No,Missing,Missing
Saint Kitts and Nevis,No,No,No,No,No,No,No,No,Missing,Missing
Saint Lucia,Yes,No,No,Yes,No,No,No,No,Missing,Missing
Saint Vincent and the Grenadines,No,No,No,No,No,No,No,No,Missing,Missing
Samoa,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,3
San Marino,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,Missing
Sao Tome and Principe,No,No,No,No,No,No,No,No,Missing,Missing
Saudi Arabia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,7
Senegal,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Missing,4
Serbia,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,4
Seychelles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Sierra Leone,No,No,No,No,No,No,No,No,Missing,Missing
Singapore,Yes,Yes,Yes,No,No,Yes,No,Yes,Missing,10
Slovakia,Yes,Yes,Yes,No,Yes,No,No,No,Missing,8
Slovenia,Yes,Yes,Yes,No,No,No,No,No,Missing,9
Solomon Islands,Yes,Yes,No,No,No,No,No,Yes,Missing,0
Somalia,No,No,No,No,No,No,No,No,Missing,Missing
South Africa,No,No,No,No,No,No,No,No,Missing,Missing
South Sudan,No,No,No,No,No,No,No,No,Missing,Missing
Spain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9
Sri Lanka,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,8
Sudan,No,No,No,No,No,No,No,No,Missing,Missing
Suriname,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Sweden,No,No,No,No,No,No,No,No,Missing,Missing
Switzerland,No,No,No,No,No,No,No,No,Missing,Missing
Syrian Arab Republic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Missing,3
Tajikistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Thailand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
Timor-Leste,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Missing,6
Togo,Yes,Yes,Yes,Yes,No,No,No,No,Missing,10
Tonga,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Missing,7
Trinidad and Tobago,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Tunisia,No,No,No,No,No,No,No,No,Missing,Missing
Turkey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Turkmenistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Tuvalu,No,No,No,Yes,No,Yes,Yes,Yes,Missing,7
Uganda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Ukraine,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,7
United Arab Emirates,Yes,Yes,Yes,No,No,No,No,No,Missing,9
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
United Republic of Tanzania,No,No,No,No,No,No,No,No,Missing,Missing
United States of America,No,No,No,Yes,No,No,No,No,Missing,Missing
Uruguay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Uzbekistan,No,No,No,No,No,No,No,Yes,Missing,4
Vanuatu,No,No,No,No,No,No,No,No,Missing,Missing
Venezuela (Bolivarian Republic of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Viet Nam,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Missing,3
West Bank and Gaza Strip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Yemen,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,5
Zambia,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,3
Zimbabwe,Yes,Yes,Yes,No,No,No,No,Yes,Missing,4
